timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1616736002539,168276,https://radar2.eu-west.philips-healthsuite.com/#/system/Dashboard,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to radar2.eu-west.philips-healthsuite.com:443 [radar2.eu-west.philips-healthsuite.com/52.18.223.160, radar2.eu-west.philips-healthsuite.com/54.194.96.110, radar2.eu-west.philips-healthsuite.com/54.72.92.130, radar2.eu-west.philips-healthsuite.com/34.253.44.104, radar2.eu-west.philips-healthsuite.com/34.250.196.193, radar2.eu-west.philips-healthsuite.com/99.80.139.134, radar2.eu-west.philips-healthsuite.com/34.249.251.240, radar2.eu-west.philips-healthsuite.com/34.252.35.17] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3292,0,1,1,https://radar2.eu-west.philips-healthsuite.com/#/system/Dashboard,0,0,168276
1616736170831,168042,https://radar2.eu-west.philips-healthsuite.com/supportedModalities/null.do,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to radar2.eu-west.philips-healthsuite.com:443 [radar2.eu-west.philips-healthsuite.com/52.18.223.160, radar2.eu-west.philips-healthsuite.com/54.194.96.110, radar2.eu-west.philips-healthsuite.com/54.72.92.130, radar2.eu-west.philips-healthsuite.com/34.253.44.104, radar2.eu-west.philips-healthsuite.com/34.250.196.193, radar2.eu-west.philips-healthsuite.com/99.80.139.134, radar2.eu-west.philips-healthsuite.com/34.249.251.240, radar2.eu-west.philips-healthsuite.com/34.252.35.17] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3292,0,1,1,https://radar2.eu-west.philips-healthsuite.com/supportedModalities/null.do,0,0,168042
1616736338880,168030,https://radar2.eu-west.philips-healthsuite.com/readConfig,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to radar2.eu-west.philips-healthsuite.com:443 [radar2.eu-west.philips-healthsuite.com/52.18.223.160, radar2.eu-west.philips-healthsuite.com/54.194.96.110, radar2.eu-west.philips-healthsuite.com/54.72.92.130, radar2.eu-west.philips-healthsuite.com/34.253.44.104, radar2.eu-west.philips-healthsuite.com/34.250.196.193, radar2.eu-west.philips-healthsuite.com/99.80.139.134, radar2.eu-west.philips-healthsuite.com/34.249.251.240, radar2.eu-west.philips-healthsuite.com/34.252.35.17] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3292,0,1,1,https://radar2.eu-west.philips-healthsuite.com/readConfig,0,0,168029
1616736506918,168025,https://radar2.eu-west.philips-healthsuite.com/usersComponent.do,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to radar2.eu-west.philips-healthsuite.com:443 [radar2.eu-west.philips-healthsuite.com/52.18.223.160, radar2.eu-west.philips-healthsuite.com/54.194.96.110, radar2.eu-west.philips-healthsuite.com/54.72.92.130, radar2.eu-west.philips-healthsuite.com/34.253.44.104, radar2.eu-west.philips-healthsuite.com/34.250.196.193, radar2.eu-west.philips-healthsuite.com/99.80.139.134, radar2.eu-west.philips-healthsuite.com/34.249.251.240, radar2.eu-west.philips-healthsuite.com/34.252.35.17] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3292,0,1,1,https://radar2.eu-west.philips-healthsuite.com/usersComponent.do,0,0,168025
1616736674948,168026,https://radar2.eu-west.philips-healthsuite.com/fetchPlotsForDashboard.do?stateLoc=RMW,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to radar2.eu-west.philips-healthsuite.com:443 [radar2.eu-west.philips-healthsuite.com/52.18.223.160, radar2.eu-west.philips-healthsuite.com/54.194.96.110, radar2.eu-west.philips-healthsuite.com/54.72.92.130, radar2.eu-west.philips-healthsuite.com/34.253.44.104, radar2.eu-west.philips-healthsuite.com/34.250.196.193, radar2.eu-west.philips-healthsuite.com/99.80.139.134, radar2.eu-west.philips-healthsuite.com/34.249.251.240, radar2.eu-west.philips-healthsuite.com/34.252.35.17] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3292,0,1,1,https://radar2.eu-west.philips-healthsuite.com/fetchPlotsForDashboard.do?stateLoc=RMW,0,0,168026
1616736842979,168029,https://radar2.eu-west.philips-healthsuite.com/Pages/Dashboard/dashboard.html,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to radar2.eu-west.philips-healthsuite.com:443 [radar2.eu-west.philips-healthsuite.com/52.18.223.160, radar2.eu-west.philips-healthsuite.com/54.194.96.110, radar2.eu-west.philips-healthsuite.com/54.72.92.130, radar2.eu-west.philips-healthsuite.com/34.253.44.104, radar2.eu-west.philips-healthsuite.com/34.250.196.193, radar2.eu-west.philips-healthsuite.com/99.80.139.134, radar2.eu-west.philips-healthsuite.com/34.249.251.240, radar2.eu-west.philips-healthsuite.com/34.252.35.17] failed: Connection timed out: connect",Thread Group 1-1,text,false,,3292,0,1,1,https://radar2.eu-west.philips-healthsuite.com/Pages/Dashboard/dashboard.html,0,0,168029
1616737011011,129255,https://radar2.eu-west.philips-healthsuite.com/Pages/Common/header.jsp,Non HTTP response code: java.net.SocketException,Non HTTP response message: Software caused connection abort: connect,Thread Group 1-1,text,false,,2584,0,1,1,https://radar2.eu-west.philips-healthsuite.com/Pages/Common/header.jsp,0,0,129254
1616737140270,2,https://radar2.eu-west.philips-healthsuite.com/Pages/Common/footer.html,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/Pages/Common/footer.html,0,0,2
1616737140274,3,https://radar2.eu-west.philips-healthsuite.com/Pages/Common/leftpane.html,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/Pages/Common/leftpane.html,0,0,3
1616737140279,2,https://radar2.eu-west.philips-healthsuite.com/Pages/Dashboard/dashboardGrid.html,Non HTTP response code: java.net.SocketException,Non HTTP response message: Network is unreachable: connect,Thread Group 1-1,text,false,,2574,0,1,1,https://radar2.eu-west.philips-healthsuite.com/Pages/Dashboard/dashboardGrid.html,0,0,2
